6093 Makoto                          343.201590  2.4802932  0.13575006 191.551205 167.843579   6.234985  13.2
6094 1990 VQ1                         22.162331  2.6394221  0.13697801  56.889384 222.955224  12.125033  12.5
6095 1991 UU                          80.592375  2.2343698  0.19274568  62.086257 231.707702   5.156600  13.7
6096 1991 UB2                         88.603193  2.3348668  0.10028732  22.964933 233.922624   6.223764  13.7
6097 Koishikawa                      320.045161  2.3081047  0.09328560 204.370240 205.116759   6.133143  12.9
6098 1991 UW3                         26.219716  2.2256337  0.23538740  56.201653 313.809733   4.973874  13.9
6099 Saarland                         10.517499  2.2973509  0.23076719 102.039210 255.067261   5.606432  14.3
6100 1991 VK4                        350.570140  2.3301071  0.13490913  68.627979 304.159823   3.399434  12.9
6101 1993 EG                         151.809278  2.2486860  0.12288207  48.507947 196.000386   4.615746  13.6
6102 1993 FQ25                       351.892884  2.6003106  0.16224668 358.758727 311.453285   1.761171  13.9
6103 1993 HV                         220.623675  3.4024488  0.21527067 145.365720 183.509141  14.123206  11.8
6104 Takao                           332.341390  2.7050136  0.09252426  24.131748 285.408182   2.414043  12.6
6105 Verrocchio                      320.756703  2.6328396  0.20085111 152.263541 184.201166  11.655782  14.2
6106 Stoss                           262.903251  3.1783464  0.15191747 202.013706 125.308576   2.540764  12.5
6107 Osterbrock                      229.868569  1.8653174  0.08301679  85.709213 111.145954  26.217625  14.3
6108 1971 QN                         100.164496  2.1933872  0.20311036  56.412821 263.538879   2.884034  14.0
6109 1975 QC                         110.325977  2.3480910  0.13758024 171.179754 166.323993   6.835971  13.7
6110 1978 NQ1                        109.734392  2.1696891  0.22624568 345.297630 282.018189   3.948187  14.3
6111 1979 SP13                       288.903076  2.4515349  0.19952542 310.440815  96.088412   4.016112  12.9
6112 1981 DB1                        269.808054  3.1129880  0.25381093 127.848633 210.214060  14.252751  12.7
6113 1982 SX5                        269.962671  2.6558679  0.19547746 351.410765 317.525888   2.175020  12.6
6114 1984 HS1                         32.525427  2.2304821  0.12822825  67.520534 219.901157   1.548234  14.0
6115 Martinduncan                     37.322386  2.2256783  0.15488965  66.377176 316.400767   4.893829  14.1
6116 Still                           234.787828  2.9825041  0.10015048 137.035667 255.397348   0.830852  12.8
6117 1985 CZ1                        317.316206  2.3430077  0.06606887 143.778174 305.728673   6.119549  13.2
6118 1986 QX3                         58.771733  2.4777318  0.15696143 163.507483 115.780011   3.567207  13.8
6119 1986 XH                         252.852014  2.6161291  0.12024467 182.984200 267.142957  11.632520  13.2
6120 Anhalt                            0.379561  2.3552485  0.22137918 152.787341 192.195912   3.025487  14.4
6121 1987 RU3                         60.436689  2.2612492  0.18769380 139.911905 224.611458   3.249892  13.4
6122 Henrard                         358.067216  2.3345710  0.15807465 163.101105 215.434780  10.526060  13.8
6123 Aristoteles                      19.376140  2.3306521  0.06369424 181.507944 173.101646   9.488770  13.7
6124 Mecklenburg                     108.063186  3.9738144  0.24386048 244.823524 160.152738   9.388987  12.2
6125 1989 CN                          69.545607  2.2227206  0.13551224 209.706711 150.372952   1.306488  13.7
6126 1989 EW1                         19.077657  2.2161515  0.12146867  34.913636  23.256632   2.862075  13.1
6127 1989 HD                          43.516233  2.6064084  0.14685004 116.044316 143.747158  13.848850  12.9
6128 1989 LA                          23.603603  2.6495299  0.18276935 144.570756 128.233073   4.173809  13.0
6129 Demokritos                       63.955910  2.7965361  0.16517729 293.202715 294.920384   6.513850  12.3
6130 1989 SL5                        256.325326  2.9901442  0.53659167 189.616008 139.468553  23.661018  16.3
6131 Towen                           301.010334  2.4240654  0.12663405 278.529833 149.060351   6.179893  14.0
6132 Danielson                        60.187108  2.4674304  0.16253527 296.721592 338.803688   2.966584  13.6
6133 1990 RC3                         54.181519  2.4748636  0.17950306  67.546905 217.443903   2.582736  13.3
6134 1990 RA5                         30.150843  2.5586323  0.14679275  90.455531 183.912037  13.102735  13.3
6135 Billowen                        146.028936  2.4323916  0.12310971 271.200386 291.735932  11.335234  12.7
6136 1990 YH                         166.950834  3.0198938  0.06711456 320.902937 136.437147  11.187906  11.3
6137 1991 BY                         172.026116  3.2152324  0.06030512  96.351622 337.474847  15.414921  11.0
6138 1991 JH1                        358.775204  2.3455686  0.19044078  83.510414 147.900053   2.666272  13.8
6139 1992 AD1                        122.884663  2.6623560  0.15119489 280.077101 270.841072  12.389936  12.0
6140 1992 AT1                         36.349448  2.3318397  0.14284019 243.073869 117.601744   5.620310  13.3
6141 1992 YC3                        121.215195  1.8179727  0.14303456 145.657289 284.924291  16.454061  14.5
6142 1993 FP                          97.468309  2.4617878  0.13488369  44.493697 187.637531   2.932250  13.0
6143 Pythagoras                      296.725831  2.8553739  0.06955871 342.445205 355.384081   1.573610  12.6
6144 1994 EQ3                        140.296217  4.6909342  0.36676436  97.303593 120.179236   5.727477  11.5
6145 Riemenschneider                 332.340250  2.4259020  0.19099254  12.031578  33.837067   3.113291  14.5
6146 Adamkrafft                       55.185773  2.3135980  0.26512757 252.553377  43.280302   3.410655  13.0
6147 Straub                           10.543971  2.6064914  0.21844643  89.654857 233.932721  12.116854  12.8
6148 Ignazgunther                    315.705809  2.2769088  0.23324697 282.230734 181.936558  22.688768  13.6
6149 1979 SS                          36.198062  2.3873074  0.17341375  17.487733 335.179695   6.360517  14.1
6150 Neukum                          221.119147  3.1528565  0.13857141  70.545668 326.731623   3.683457  12.2
6151 Viget                           355.695888  2.2594112  0.08835253  65.059482  41.727108   7.245013  13.6
6152 Empedocles                       47.277826  2.5713724  0.19886723 257.493389   5.837179   5.651661  12.7
6153 Hershey                         183.062543  2.8420646  0.27994578 192.767389 198.908844  17.387744  11.5
6154 Stevesynnott                     68.776141  2.4227903  0.18383529 323.388591 324.727140   2.304800  13.8
6155 1990 VY2                         16.105103  2.5280035  0.18049717 339.341608   4.191681   4.097280  12.5
6156 Dall                            185.367274  2.9909118  0.07424321 157.625366 299.315641   9.424546  12.0
6157 1991 RX2                        155.343826  2.4250038  0.08615614 222.865754 280.523836   3.974205  13.9
6158 1991 VB3                        342.874095  2.1896071  0.06971945 210.434875 249.778986   5.534400  13.3
6159 1991 YH                         344.927018  2.2910930  0.06106905  56.690234  30.439206   6.865930  12.8
6160 1993 JF                          97.744392  2.3029404  0.18810723  58.598433 247.108609   4.822428  13.2
6161 1971 TY2                        226.336890  2.7885139  0.22904099 181.051725 280.692684   8.958580  12.5
6162 1973 SR6                        324.316566  2.5868526  0.17969532  27.240846  23.868151  13.252273  13.2
6163 1977 FT                         165.912254  1.9273328  0.10247904 146.181350 214.617494  20.303862  14.5
6164 1977 RF2                         91.488559  2.2449455  0.19352763 318.585699 353.075190   4.825802  14.0
6165 1978 PD3                        147.699061  2.3578924  0.11958224  45.066799 327.213255   6.209645  14.3
6166 1978 SP4                        223.947081  2.9957269  0.08517831  77.917403  18.542537  10.862058  12.1
6167 1979 QB10                        44.802306  2.3975834  0.20147313 340.830868 347.556091   1.637216  14.0
6168 1981 EB1                        350.203924  3.1589842  0.07701197  87.057902 134.270663   2.555743  12.9
6169 1981 EX4                        284.345598  3.0998539  0.13308355 117.348950 208.020150  20.048497  12.6
6170 Levasseur                       324.082555  2.3530545  0.31715059 103.628816  12.012114  22.590874  13.7
6171 1981 UT                          15.740736  2.2157173  0.09949191  42.677565 353.340197   3.042510  13.8
6172 Prokofeana                      278.163996  2.5763797  0.43204972 193.397951 218.726283  15.815426  15.3
6173 Jimwestphal                     253.571265  2.5628498  0.12237492  65.561442  72.811572  10.005844  12.6
6174 Polybius                        303.085589  3.0574127  0.21574236 302.175837  21.948651  14.701999  11.9
6175 1983 XW                         222.089188  3.1906216  0.20680329   9.927485  35.234049   0.407799  12.6
6176 1985 BH                          85.062983  2.2525925  0.15445889 261.739950 111.709898   5.662495  13.1
6177 1986 CE2                        295.208581  2.2029144  0.07562553 139.904329   1.279551   5.686810  13.7
6178 1986 DA                         211.716256  2.8159354  0.58404673 126.960033  64.885034   4.299895  15.1
6179 1986 EN                          61.171094  2.4286596  0.21367657  49.645225 155.647912  23.335343  13.7
6180 1986 PX4                         26.420246  2.4431129  0.21331825 313.035627  28.724421   1.158089  13.5
6181 1986 RW                           9.712999  2.4299347  0.23849567  93.604249 303.804880   7.570902  13.3
6182 1987 SC4                         70.839956  2.2536145  0.23083731  72.491691 284.608060   4.764340  14.3
6183 Viscome                           9.585617  2.3057816  0.28982325 115.855889 274.949176  19.656959  14.0
6184 1987 UQ3                         46.146834  2.3209304  0.12362419 257.589435  82.012134   6.299305  13.4
6185 1987 YD                         333.670953  2.3412882  0.17052353  43.125136  63.494304   8.764284  13.2
6186 Zenon                             3.611872  2.3789756  0.18450836  86.230484 315.634500   4.207943  13.5
6187 1988 RD5                        242.569941  3.1350541  0.17761509 329.913790  53.205408   1.939445  12.5
6188 1988 SW2                        273.983997  3.1700480  0.17209141 287.635770  55.821874   2.165995  12.6
6189 Volk                             71.884228  2.3040231  0.13520557  68.009605 245.553978   5.944157  13.5
6190 1989 TJ1                        299.813079  2.8122797  0.09214037  70.152332 313.038084   1.684167  12.9
6191 Eades                           286.529982  2.9934944  0.12309946 288.030925  61.970543  10.207210  12.6
6192 1990 KB1                         94.846810  2.2917702  0.26619391 168.453215 122.427738  10.318053  12.7
