6642 1990 UE3                        108.888905  3.1675185  0.24470585  59.961665  30.829537   4.321951  12.0
6643 1990 VZ                         146.012654  3.1110928  0.26182658   0.839723  42.716283   2.845263  12.4
6644 1991 AA                         189.668758  3.2094144  0.13360680 324.076034  33.200837   5.399192  11.8
6645 Arcetri                         148.819889  3.1368540  0.19517947  31.505533  24.956179   0.792249  12.5
6646 1991 CA3                        322.550333  1.9249906  0.10003584 105.761187 340.893309  17.590614  13.8
6647 Josse                           292.149332  2.2059162  0.19697961 137.274543 218.204315   1.137351  14.7
6648 1991 PM11                       239.476976  2.5474142  0.24210821  33.776693 327.912017   4.790798  13.0
6649 1991 RN                         273.060577  2.5366147  0.25149031 349.142120 325.769199   7.191725  12.9
6650 1991 RS1                        164.097747  2.5957312  0.17210221  91.482246 347.598510  12.503957  12.1
6651 1991 RV9                        356.648062  2.3766704  0.06587093 294.502938  11.880382   3.815503  13.9
6652 1991 SJ1                        125.670219  2.6448906  0.17283241 302.903530 167.913275  14.161667  12.8
6653 Feininger                       128.707199  2.9126644  0.08413713  24.072063  31.932756   1.982598  12.7
6654 1992 DT6                        124.335462  3.1599323  0.16387431 278.391524 149.697617   5.884156  13.3
6655 1992 EL1                        194.526326  2.9929217  0.08365496 333.854529  75.327427  10.768639  11.4
6656 1992 FF                          70.403807  3.1621863  0.15718001  91.141111  55.223164   1.906108  12.1
6657 1992 WY                         276.873318  2.2782638  0.23689765 112.797948 233.873020   5.065240  14.6
6658 1992 WT2                        308.029686  2.2901424  0.07546066 217.467922 112.980633   4.614203  13.2
6659 1992 YN                         218.002353  2.3706875  0.10915178 159.329746 259.124749   5.210865  13.1
6660 1993 BC                         225.269368  2.3860603  0.18957342 162.945207 262.529389   1.643747  14.3
6661 1993 BO                         246.133122  2.3748182  0.17152723 199.830653 194.761338   2.686761  13.2
6662 1993 BP13                       102.179495  2.5984770  0.10471232 235.201465 268.811284  12.501194  11.4
6663 1993 CC                          26.515469  2.6667475  0.13361325  93.813255 132.063566  13.810535  12.8
6664 1993 CK                         142.614967  2.3804231  0.07496697 141.286342  40.245307   4.848229  12.9
6665 1993 CN                          80.425187  3.0061235  0.07008523 339.435815 101.368294  11.431233  11.9
6666 1993 FG20                       237.734583  2.5759959  0.23905997 160.641672 231.215122   2.971842  14.2
6667 1994 EK2                         79.936673  2.3563834  0.07559730 355.250098 171.815050   5.619689  13.2
6668 1994 GY8                        273.733346  2.7471224  0.15408303 283.667199 352.380513   8.073361  11.9
6669 1994 JA1                         28.292490  2.2020119  0.21431355 254.784084  49.689568   6.220790  12.8
6670 1994 LL1                        259.828902  2.7250593  0.29083701 200.872624 122.981650  20.179811  12.0
6671 1994 NC1                        304.223904  2.8951785  0.15154732  96.650460 180.894849  14.696057  12.4
6672 Corot                           266.530221  2.4111965  0.21448140 165.699946 209.373753   4.788266  14.2
6673 Degas                           295.383496  2.4292012  0.21349145 294.907102  39.521636   3.972139  13.0
6674 Cezanne                         312.406043  2.4591274  0.14938250 177.926920  98.669057   3.738458  13.4
6675 Sisley                          113.376278  3.0716302  0.18459523  57.199054  67.091261   1.574443  14.7
6676 Monet                            18.367843  3.1602186  0.15635607 340.946058 165.392167   0.967126  13.1
6677 Renoir                          226.667460  3.2529361  0.08786559 304.301441  33.061609  14.606776  11.4
6678 Seurat                          253.182930  2.7366009  0.02934928 301.965315  28.915030  10.879411  12.6
6679 1969 UP1                        242.741537  2.1902902  0.03294655  60.061349  39.916794   5.526924  14.0
6680 1970 WD                         314.802865  2.3218745  0.12269215 125.408752 257.258589   7.313726  13.5
6681 1972 RU3                        327.655934  2.2046926  0.14578073 302.066343  42.453273   4.781081  14.1
6682 1973 ST3                        265.556744  2.3625307  0.23148660  50.299143 359.164331   5.903978  14.3
6683 1976 GQ2                        117.206384  3.0873053  0.09482284  70.747961  34.849195  14.592053  11.4
6684 1977 QU                         256.072870  2.7347706  0.13424504 165.964776 137.496428   2.789850  12.9
6685 1978 QG2                         29.188770  2.2325446  0.17438919  92.229315 189.328495   3.723666  14.0
6686 Hernius                         184.359664  2.9464664  0.10367340 255.252098 161.257454   2.375919  12.7
6687 Lahulla                         281.680573  2.2594674  0.02091406 311.148170  80.267706   0.536989  14.3
6688 1981 ER17                       174.556612  3.1102507  0.16734066 191.638048 207.907121   4.822875  12.8
6689 1981 EQ24                        14.946558  2.2124450  0.17204456  77.329097 199.068633   4.416481  15.2
6690 1981 SY1                         28.517808  2.2606492  0.15374569 333.036983 319.579649   3.759805  13.3
6691 1984 DX                         217.291228  2.5754164  0.24531944 290.995199 144.359285   3.915980  13.9
6692 1985 HL                          95.015095  2.5603457  0.25073464  14.736503 172.791545   6.879572  14.0
6693 1986 CC2                        257.016717  2.3758925  0.28093625  55.254879 317.368994   9.497522  13.8
6694 1986 PF                         290.100008  2.6395267  0.05198520  69.104744 245.772061   5.536586  12.3
6695 1986 PD1                        236.925790  2.6054889  0.20532500 267.039121 139.492295  15.742363  13.1
6696 Eubanks                         292.839171  2.6783439  0.18970502 295.366613   5.299876   1.742402  12.8
6697 1987 HM1                        273.672317  3.2258527  0.06899947 248.781644  35.557087  11.577861  12.0
6698 1987 SL1                        260.306475  2.4400450  0.16726487  53.049732 359.238389   2.480892  13.6
6699 1987 YK                         271.943662  2.5790373  0.20461276 299.434724  66.190113   4.891422  13.0
6700 1988 AO1                        182.511240  2.6272713  0.09576869   5.851799  91.248566   6.061987  13.5
6701 1988 AW1                        295.101144  2.5973723  0.14485013  38.027928 311.858023  12.754021  12.6
6702 1988 BP3                        337.571754  2.6984948  0.13226914 128.289034 161.480073   7.759718  12.6
6703 1988 CH                         232.948708  2.5586336  0.23035774 275.239328 166.642769   4.958352  13.2
6704 1988 CJ                          22.983537  2.7581136  0.04200501 312.766047 267.265009   3.132825  12.6
6705 1988 RK5                         51.835765  2.2225424  0.11504469  84.896068 178.904710   1.641911  14.0
6706 1988 VD3                        244.466322  2.3827307  0.21699527  41.857969 340.370504   1.805685  13.9
6707 1988 VZ3                        277.667445  2.2872556  0.17841780 150.259442 272.685293   6.180024  14.0
6708 1989 AA5                        344.412149  2.4447874  0.18228649 193.673672 116.088404  12.097972  12.8
6709 1989 CD                         262.305176  2.3493885  0.16156052 342.882999  99.036930   1.827720  13.7
6710 Apostel                         267.430909  2.8021036  0.21989397  81.595701 218.330058   6.586605  12.6
6711 1989 HG                         121.120951  2.5642232  0.12031875 345.508629 191.664087  14.731934  13.1
6712 1990 DS1                         34.332075  2.3993204  0.12067399 320.460322 265.141450   0.963433  14.2
6713 1990 KM                          85.006737  2.3446540  0.07943053  46.933866 209.970489  19.459683  13.4
6714 1990 OE2                        310.918460  2.5537341  0.13701958 232.795148 117.940353  14.564126  12.5
6715 1990 QS1                         64.214262  2.6691343  0.00532818 205.323413   2.252767   3.463095  13.3
6716 1990 RO1                        179.698051  2.7894585  0.05884173 260.773353 162.508803   4.640033  12.8
6717 Antal                           262.051900  2.8090071  0.23792227  98.591010 233.863930   6.358435  13.0
6718 1990 TT12                       280.853796  2.9126223  0.06189032 322.854007   1.108550   1.557142  12.5
6719 Gallaj                          253.272599  2.7568985  0.08151101 314.777922  76.711473   3.227559  12.4
6720 1990 VP2                        132.795859  3.0956412  0.14735661  12.926293  50.605757  14.865409  11.5
6721 1990 VY6                        238.370791  2.9310872  0.21057673 272.661460  56.264159  17.035827  12.4
6722 1991 BG2                        124.156905  3.1642856  0.19151718  57.603098  63.362840   2.825508  12.4
6723 Chrisclark                      146.580479  3.1927690  0.14467641  77.525587  23.630609  17.765967  11.5
6724 1991 CX5                        141.886028  3.0498749  0.15144000  21.516017 104.435221   9.598650  11.8
6725 1991 DS                         144.211539  3.1376709  0.12984056   4.261964 116.804374   2.336716  12.0
6726 1991 PS                         262.258334  2.2873749  0.09420329 145.857348 277.931335   4.302194  13.7
6727 1991 TF4                        202.936614  2.6352414  0.21475040  22.231465  16.401394   3.215031  13.2
6728 1991 UM                           9.433430  2.2176425  0.09861683  20.211444  10.778794   1.963061  14.2
6729 1991 VV2                        192.075282  2.5964518  0.17423046  68.922596  16.744735  13.998518  12.5
6730 1992 BH                          30.280725  3.1218093  0.15485795  20.823280 140.522802  18.260104  11.8
6731 Hiei                            199.491933  2.6378713  0.22982361 104.979223 353.522007   4.179325  13.6
6732 1992 CG1                         10.991370  3.0863827  0.12892216 105.398890 113.921013   3.404685  12.2
6733 1992 EF                          54.680778  3.0160755  0.04264653 272.987989 271.995650   9.171536  11.8
6734 1992 FB                         258.437530  2.9939968  0.11606749 310.755750  58.591031  11.366109  11.2
6735 1992 WM3                        278.104829  2.1594122  0.07907840 357.212864  75.201640   2.903358  13.7
6736 1993 EF                         194.155626  2.4018375  0.16754295  57.027728  63.552167   3.099073  14.0
6737 1993 ER                         226.475209  2.3295477  0.12423655  66.801882  53.450523   0.813704  13.3
6738 1993 FD1                        234.078081  2.3398136  0.15928896   4.670868  99.396542   0.478813  14.2
6739 1993 FU38                       204.093053  3.2286933  0.12609249 240.778673  82.651172   2.466730  13.1
6740 1993 GY                         127.031799  2.5623313  0.11057862  89.545459  64.311818  14.778533  12.7
6741 1994 FX                           5.918958  2.3016579  0.19513227 126.981604 165.066174   5.697607  13.4
6742 1994 GR                          33.787445  2.3343592  0.17063043 150.400682 103.255954   5.462590  13.2
6743 1994 GS                          48.352953  2.2354149  0.20691168 207.284272  69.940748   8.123389  13.4
6744 1994 JL                          49.851612  2.2595216  0.18876790 186.837872  85.327574   6.670618  13.8
6745 1994 JD1                         98.917711  2.2281515  0.13822119  86.445316 127.500714   6.067090  14.5
6746 Zagar                           330.750125  2.6010740  0.15662538  45.386744 259.061513  12.687553  12.7
6747 1995 UT3                        217.856304  2.9764052  0.13573831 346.789932  13.450111   4.027686  13.2
6748 1995 UV30                         5.955085  2.4711675  0.15810905 192.443710  80.779450   4.106303  12.9
6749 Ireentje                        215.378772  2.6824004  0.24980254 155.153277 209.930679   8.274037  13.8
6750 Katgert                         162.345901  3.0054086  0.10476983 112.158521 338.842556   9.262340  12.4
6751 van Genderen                    323.757438  2.4237699  0.16315308 109.346048 206.228105   4.632989  13.7
6752 Ashley                          225.023767  2.3818792  0.08253590 288.180031 176.873039  12.989992  13.5
6753 1974 RV1                         70.007344  2.2477942  0.13960993 351.892592 300.335679   3.003620  13.2
6754 1976 UD4                        243.850292  2.4400449  0.18423731 242.660130 170.703359   2.474496  13.9
6755 1976 YE1                        244.767048  2.4418992  0.04428459 144.394458 280.119048   4.741825  13.1
6756 1978 VX3                         57.606186  2.6779206  0.18587213 303.739185 253.589648   3.634214  14.2
